SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
IC-83-B9-28,163165,193207,123131,133133,173175,106112,114118,110130,152154,203215,246262,096104,217277,211219,095104,245245
IC-83-B9-29,157169,183199,125129,129129,171173,116120,116116,110112,146160,223235,270270,104108,261265,215223,095098,212245
IC-83-B9-30,169175,187193,125127,109129,171173,116118,114116,112112,146154,215227,250250,096100,221273,211219,095101,212245
IC-83-B9-31,157159,193195,127127,129129,171173,116120,114118,112114,154156,227235,246278,096108,229281,203207,086095,245245
IC-83-B9-32,163175,191197,117127,127129,161171,116122,114122,112124,146154,223235,246262,096096,225273,207231,086095,245245
IC-83-B9-33,165179,197201,119119,129133,161171,106106,114122,110112,146154,219227,246262,096108,217273,203207,101101,212245
IC-83-B9-34,157169,183193,119123,109133,161173,112114,114116,126126,152160,191223,246246,104104,225277,219223,095101,212245
IC-83-B9-35,157157,193197,125125,127133,171175,120122,116120,112124,150152,207227,266266,096108,265269,207215,095098,212245
IC-83-B9-36,157173,199213,125129,125127,173175,110120,116122,110112,154156,219223,262270,108112,269273,219227,095098,245245
IC-83-B9-37,169175,197201,117119,125141,161175,112120,116120,110124,154158,215231,246262,100104,261261,207223,095098,245245
IC-83-B9-39,169175,181201,119129,127129,161173,114114,114116,112112,154154,219227,246262,108112,217225,215227,095095,212245
IC-83-B9-40,145169,181183,117125,109129,171171,112116,114118,112112,146152,223227,258270,104104,265273,215219,095104,245245
IC-83-B9-41,169169,183201,117123,125133,173177,112120,114114,110122,146154,211223,246262,100100,265273,211215,095095,212245
IC-83-B9-42,159169,183195,117125,125127,161173,106116,116120,112112,152152,207235,246250,104116,225261,203207,086095,245245
IC-83-B9-43,157169,187197,127127,123129,161169,116116,108116,110126,154154,227235,262266,096108,225265,211215,086095,245245
IC-83-B9-44,159169,187197,129131,123123,169173,106116,116122,112124,154160,191223,246246,104108,269281,207211,086095,245245
IC-83-B9-45,163163,183195,127129,129133,161181,106120,116116,122124,150152,219223,246270,104116,269277,219227,092095,245245
IC-83-B9-46,157175,193193,117127,129135,171177,112120,118120,112122,154154,211223,246262,104108,261269,207223,095095,245245
IC-83-B9-47,163171,183195,119125,127129,161175,106120,110120,112126,154154,223223,246246,100108,265269,203215,095101,212245
IC-83-B9-48,157157,193197,119129,129133,173175,106106,114116,110126,154154,207231,246262,100100,265265,203223,086098,245245
IC-83-B9-58,159169,193211,119125,129131,161175,106116,114114,110112,154158,227231,246246,104108,273281,211227,086095,212245
IC-85-B6-01,175175,187193,117125,125129,173181,112112,116116,110112,152158,227231,262270,104112,273277,207211,086086,245245
IC-85-B6-02,157159,191195,119125,125143,171173,116120,108116,112124,152154,203203,246266,100108,213265,211215,092101,245245
IC-85-B6-03,157169,187193,119131,125129,161173,116118,114118,112126,154156,227235,262270,096100,265281,207231,086086,245245
IC-85-B6-04,163169,179181,119127,123131,161175,118118,120120,112126,150154,203227,246270,096100,265265,215215,095095,212245
IC-85-B6-05,163169,179181,125127,123131,171173,112124,116118,112126,154154,207227,246262,096100,229269,211219,095101,212245
IC-85-B6-06,157169,183193,125127,125127,171173,112120,116118,112112,152158,215231,246266,096112,225277,203207,095095,212245
IC-85-B6-07,163169,193193,125127,125129,161169,116120,116118,110112,152158,191227,246258,096116,213261,207211,098101,212245
IC-85-B6-08,169173,183193,127127,125127,161173,106120,116116,112126,154154,207211,246246,100104,225285,215219,101104,212245
IC-85-B6-09,157169,183195,117129,127133,169173,116120,116118,112112,152160,211219,246246,096104,261269,207215,086095,245245
IC-85-B6-10,157171,193199,123129,129133,161175,116116,116128,110114,152154,207207,246262,096108,217229,211211,086098,245245
IC-85-B6-11,169169,201203,123129,125127,161173,106116,114116,112112,158160,191211,262262,100112,273277,203211,095101,212245
IC-85-B6-12,163171,179207,119129,125127,169173,120122,114116,112112,156158,207223,246262,108112,213269,207223,095104,212245
IC-85-B6-13,163171,179207,123129,125127,177177,116122,118118,112112,150152,207215,246262,108112,233269,207223,092095,212245
IC-85-B6-14,165173,197199,129129,133133,161171,106106,118118,110112,154158,231231,246246,104104,221265,215223,095101,245245
IC-85-B6-15,171171,193195,129131,125133,161177,118120,118118,110122,154154,191223,246266,096100,225285,207215,086101,245245
IC-85-B6-16,157165,193197,127129,127129,161169,120120,114126,112112,152154,227231,246270,104104,225269,207211,098104,245245
IC-85-B6-17,157159,191211,129129,123127,173175,106116,114116,110112,152154,203223,266270,096104,225233,203211,086104,245245
IC-85-B6-18,157171,193197,119131,125127,177179,106114,116116,112126,146154,191239,246262,096108,261269,211219,095095,245245
IC-85-B6-19,163173,197199,129131,125129,173177,120122,114116,126126,152152,223223,262262,096104,261265,203227,086098,245245
IC-85-B6-20,163171,191197,117129,127127,173173,106116,114116,110112,154158,219227,246262,100108,225269,207211,101101,212245
IC-85-B6-21,163171,191197,125127,127127,173177,120120,108114,110112,152158,203227,250250,100108,217225,207223,086101,212245
IC-85-B6-22,169169,191197,119127,129129,171173,116120,108114,122124,154154,211243,262270,096100,277285,199219,086095,212245
IC-85-B6-23,157157,195197,119125,131135,171177,112122,108114,110126,154154,191207,262270,104108,213225,207219,095095,212245
IC-85-B6-24,157169,183193,125127,127129,169171,114120,116116,110126,154158,207223,262262,100100,229269,211227,086098,212245
IC-85-B6-25,157169,183193,127131,125125,171173,112116,108108,112112,154154,191231,266270,104108,221273,203219,086095,245245
IC-85-B6-26,163163,181197,119119,127135,169171,120122,116120,116122,152154,227231,246262,100104,229273,211211,086086,212245
